;Cycle;Origin;Destination;Total;age: [children];age: [adults];age: [elders];occupation: [student];occupation: [worker]
44;0;Cidade Baixa;Floresta;550;50;141;65;250;300
45;0;Cidade Baixa;Independência;1300;0;545;273;250;1050
46;0;Cidade Baixa;Menino Deus;4750;300;2078;1111;700;4050
47;0;Cidade Baixa;Moinhos de Vento;400;100;114;51;150;250
48;0;Cidade Baixa;Praia de Belas;1500;100;687;258;300;1200
49;0;Cidade Baixa;Rio Branco;1050;100;500;194;200;850
50;0;Cidade Baixa;Santa Cecília;250;0;94;42;50;200
51;0;Cidade Baixa;Santana;700;50;297;137;200;500
52;0;Farroupilha;Azenha;950;0;464;241;50;900
53;0;Farroupilha;Bom Fim;1600;0;631;392;200;1400
54;0;Farroupilha;Centro Histórico;800;0;247;121;300;500
55;0;Farroupilha;Cidade Baixa;2450;100;871;353;850;1600
56;0;Farroupilha;Farroupilha;200;100;44;40;100;100
57;0;Farroupilha;Floresta;450;50;164;76;150;300
58;0;Farroupilha;Independência;500;50;199;111;100;400
59;0;Farroupilha;Menino Deus;2500;50;1049;542;600;1900
60;0;Farroupilha;Moinhos de Vento;550;50;232;138;100;450
61;0;Farroupilha;Praia de Belas;150;0;82;28;0;150
62;0;Farroupilha;Rio Branco;1250;100;443;223;400;850
63;0;Farroupilha;Santa Cecília;300;0;157;56;100;200
64;0;Farroupilha;Santana;400;50;80;43;250;150
65;0;Floresta;Azenha;650;50;199;106;250;400
66;0;Floresta;Bom Fim;650;50;227;108;200;450
67;0;Floresta;Centro Histórico;1850;250;668;257;700;1150
68;0;Floresta;Cidade Baixa;550;50;141;65;250;300
69;0;Floresta;Farroupilha;450;50;164;76;150;300
70;0;Floresta;Floresta;3700;700;1128;646;1500;2200
71;0;Floresta;Independência;1300;350;250;123;900;400
72;0;Floresta;Menino Deus;900;150;351;175;250;650
73;0;Floresta;Moinhos de Vento;1650;200;652;381;350;1300
74;0;Floresta;Praia de Belas;350;0;187;51;100;250
75;0;Floresta;Rio Branco;950;350;128;39;800;150
76;0;Floresta;Santa Cecília;250;0;97;66;50;200
77;0;Floresta;Santana;400;50;108;46;200;200
78;0;Independência;Azenha;350;50;130;62;100;250
79;0;Independência;Bom Fim;3100;150;1143;623;650;2450
80;0;Independência;Centro Histórico;1400;100;568;251;450;950
81;0;Independência;Cidade Baixa;1300;0;545;273;250;1050
82;0;Independência;Farroupilha;500;50;199;111;100;400
83;0;Independência;Floresta;1300;350;250;123;900;400
84;0;Independência;Independência;4200;200;1812;1116;400;3800
85;0;Independência;Menino Deus;900;150;357;197;200;700
86;0;Independência;Moinhos de Vento;900;100;294;219;250;650
87;0;Independência;Praia de Belas;250;0;85;61;50;200
88;0;Independência;Rio Branco;1550;400;493;197;850;700
89;0;Independência;Santa Cecília;300;50;61;47;150;150
90;0;Independência;Santana;700;100;266;175;150;550
91;0;Menino Deus;Azenha;3400;550;1268;663;1000;2400
92;0;Menino Deus;Bom Fim;1250;150;384;219;450;800
93;0;Menino Deus;Centro Histórico;1150;150;404;201;400;750
94;0;Menino Deus;Cidade Baixa;4750;300;2078;1111;700;4050
95;0;Menino Deus;Farroupilha;2500;50;1049;542;600;1900
96;0;Menino Deus;Floresta;900;150;351;175;250;650
97;0;Menino Deus;Independência;900;150;357;197;200;700
98;0;Menino Deus;Menino Deus;15700;1200;6590;3606;3200;12500
99;0;Menino Deus;Moinhos de Vento;650;50;231;194;150;500
100;0;Menino Deus;Praia de Belas;2850;100;1364;743;200;2650
101;0;Menino Deus;Rio Branco;800;150;329;188;150;650
102;0;Menino Deus;Santa Cecília;1000;150;327;172;400;600
103;0;Menino Deus;Santana;750;150;200;74;450;300
104;0;Moinhos de Vento;Azenha;250;0;77;40;100;150
105;0;Moinhos de Vento;Bom Fim;800;150;212;131;400;400
106;0;Moinhos de Vento;Centro Histórico;1200;50;562;278;150;1050
107;0;Moinhos de Vento;Cidade Baixa;400;100;114;51;150;250
108;0;Moinhos de Vento;Farroupilha;550;50;232;138;100;450
109;0;Moinhos de Vento;Floresta;1650;200;652;381;350;1300
110;0;Moinhos de Vento;Independência;900;100;294;219;250;650
111;0;Moinhos de Vento;Menino Deus;650;50;231;194;150;500
112;0;Moinhos de Vento;Moinhos de Vento;6500;400;2514;2118;1000;5500
113;0;Moinhos de Vento;Praia de Belas;50;0;19;22;0;50
114;0;Moinhos de Vento;Rio Branco;2450;350;791;487;950;1500
115;0;Moinhos de Vento;Santa Cecília;500;0;156;98;200;300
116;0;Moinhos de Vento;Santana;250;50;47;37;150;100
117;0;Praia de Belas;Azenha;400;50;131;30;250;150
118;0;Praia de Belas;Bom Fim;400;50;131;83;100;300
119;0;Praia de Belas;Centro Histórico;1350;50;659;306;50;1300
120;0;Praia de Belas;Cidade Baixa;1500;100;687;258;300;1200
121;0;Praia de Belas;Farroupilha;150;0;82;28;0;150
122;0;Praia de Belas;Floresta;350;0;187;51;100;250
123;0;Praia de Belas;Independência;250;0;85;61;50;200
124;0;Praia de Belas;Menino Deus;2850;100;1364;743;200;2650
125;0;Praia de Belas;Moinhos de Vento;50;0;19;22;0;50
126;0;Praia de Belas;Praia de Belas;200;0;120;44;0;200
127;0;Praia de Belas;Rio Branco;300;50;46;29;200;100
128;0;Praia de Belas;Santa Cecília;250;0;131;72;0;250
129;0;Praia de Belas;Santana;1050;200;374;179;350;700
130;0;Rio Branco;Azenha;600;50;124;70;350;250
131;0;Rio Branco;Bom Fim;4950;350;2270;1086;900;4050
132;0;Rio Branco;Centro Histórico;2050;200;676;357;750;1300
133;0;Rio Branco;Cidade Baixa;1050;100;500;194;200;850
134;0;Rio Branco;Farroupilha;1250;100;443;223;400;850
135;0;Rio Branco;Floresta;950;350;128;39;800;150
136;0;Rio Branco;Independência;1550;400;493;197;850;700
137;0;Rio Branco;Menino Deus;800;150;329;188;150;650
138;0;Rio Branco;Moinhos de Vento;2450;350;791;487;950;1500
139;0;Rio Branco;Praia de Belas;300;50;46;29;200;100
140;0;Rio Branco;Rio Branco;2100;200;578;332;1000;1100
141;0;Rio Branco;Santa Cecília;1250;50;554;280;200;1050
142;0;Rio Branco;Santana;1300;50;549;298;250;1050
143;0;Santa Cecília;Azenha;500;50;184;96;150;350
144;0;Santa Cecília;Bom Fim;1050;100;459;226;200;850
145;0;Santa Cecília;Centro Histórico;1400;50;556;205;450;950
146;0;Santa Cecília;Cidade Baixa;250;0;94;42;50;200
147;0;Santa Cecília;Farroupilha;300;0;157;56;100;200
148;0;Santa Cecília;Floresta;250;0;97;66;50;200
149;0;Santa Cecília;Independência;300;50;61;47;150;150
150;0;Santa Cecília;Menino Deus;1050;150;351;189;400;650
151;0;Santa Cecília;Moinhos de Vento;500;0;156;98;200;300
152;0;Santa Cecília;Praia de Belas;250;0;131;72;0;250
153;0;Santa Cecília;Rio Branco;1250;50;554;280;200;1050
154;0;Santa Cecília;Santa Cecília;3500;400;1490;700;900;2600
155;0;Santa Cecília;Santana;2350;200;901;447;750;1600
156;0;Santana;Azenha;3150;700;612;301;2050;1100
157;0;Santana;Bom Fim;750;100;181;85;450;300
158;0;Santana;Centro Histórico;650;150;205;98;250;400
159;0;Santana;Cidade Baixa;700;50;297;137;200;500
160;0;Santana;Farroupilha;400;50;80;43;250;150
161;0;Santana;Floresta;400;50;108;46;200;200
162;0;Santana;Independência;700;100;266;175;150;550
163;0;Santana;Menino Deus;750;150;200;74;450;300
164;0;Santana;Moinhos de Vento;250;50;47;37;150;100
165;0;Santana;Praia de Belas;1050;200;374;179;350;700
166;0;Santana;Rio Branco;1300;50;549;298;250;1050
167;0;Santana;Santa Cecília;2350;200;901;447;750;1600
168;0;Santana;Santana;14800;2200;5336;2586;5000;9800
